sku_id,product_id,shade_name,list_price,sale_price,size,oz_value,g_value,ml_value,fl_oz_value,badge,in_stock,image_url,price_per_oz,price_per_g
2998102,P517483,Teacup,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2998102-main-zoom.jpg?pb=clean-at-sephora,,
2896181,P517483,Piggy - baby pink,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2896181-main-zoom.jpg?pb=clean-at-sephora,,
2896033,P517483,Sprinkle - warm pearly pink,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2896033-main-zoom.jpg?pb=clean-at-sephora,,
2895779,P517483,Juice Box - hot pink,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2895779-main-zoom.jpg?pb=clean-at-sephora,,
2895860,P517483,Spicy Marg - bright coral,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2895860-main-zoom.jpg?pb=clean-at-sephora,,
2896124,P517483,Freckle - neutral peach,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2896124-main-zoom.jpg?pb=clean-at-sephora,,
2916823,P517483,Tan Line - pinky tan,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2916823-main-zoom.jpg?pb=clean-at-sephora,,
2895845,P517483,Sleepy Girl - soft mauve,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2895845-main-zoom.jpg?pb=clean-at-sephora,,
2895969,P517483,Toasted Teddy - bronze terracotta,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2895969-main-zoom.jpg?pb=clean-at-sephora,,
2916815,P517483,Sun Soak - spiced orange,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2916815-main-zoom.jpg?pb=clean-at-sephora,,
2896116,P517483,Date Cake - warm red berry,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2896116-main-zoom.jpg?pb=clean-at-sephora,,
2998110,P517483,Candy Apple,25.0,,,,,,,Clean at Sephora,False,https://www.sephora.com/productimages/sku/s2998110-main-zoom.jpg?pb=clean-at-sephora,,
