shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,standard_value,standard_unit,product_id,shade_id,product_image_url,rgb_r,rgb_g,rgb_b,lab_L,lab_a,lab_b,rgb,lab,L_axis,b_axis,hex_color
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2635133,NATASHA DENONA,Hy-Blush,Flirty Flush,https://media.ultainc.com/i/ulta/2635133_sw?img404=2635133&w=80&fmt=auto,Flirty Flush Hy-Blush,coral/golden pink,42.0,10.01,g,2049565,2635133,https://media.ulta.com/i/ulta/2635133?w=1080&h=1080&fmt=auto,250,120,125,65.94,50.03,21.18,"250,120,125","65.94,50.03,21.18",65.94,21.18,#fa787d
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2635131,NATASHA DENONA,Hy-Blush,Fresh Mauve,https://media.ultainc.com/i/ulta/2635131_sw?img404=2635131&w=80&fmt=auto,Fresh Mauve Hy-Blush,mauve/glowy nude,42.0,10.01,g,2049565,2635131,https://media.ulta.com/i/ulta/2635131?w=1080&h=1080&fmt=auto,234,142,146,68.69,35.31,12.87,"234,142,146","68.69,35.31,12.87",68.69,12.87,#ea8e92
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2635132,NATASHA DENONA,Hy-Blush,Flustered,https://media.ultainc.com/i/ulta/2635132_sw?img404=2635132&w=80&fmt=auto,Flustered Hy-Blush,pomegranate / icy pink,42.0,10.01,g,2049565,2635132,https://media.ulta.com/i/ulta/2635132?w=1080&h=1080&fmt=auto,230,93,100,57.63,53.69,23.79,"230,93,100","57.63,53.69,23.79",57.63,23.79,#e65d64
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2652414,NATASHA DENONA,Hy-Blush,Lush Lila,https://media.ultainc.com/i/ulta/2652414_sw?img404=2652414&w=80&fmt=auto,Lush Lila Hy-Blush,champagne pink lavender / pink lavender,42.0,10.01,g,2049565,2652414,https://media.ulta.com/i/ulta/2652414?w=1080&h=1080&fmt=auto,226,130,180,66.08,43.21,-10.16,"226,130,180","66.08,43.21,-10.16",66.08,-10.16,#e282b4
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2652413,NATASHA DENONA,Hy-Blush,Nude Muse,https://media.ultainc.com/i/ulta/2652413_sw?img404=2652413&w=80&fmt=auto,Nude Muse Hy-Blush,icy nude / dusty rose beige,42.0,10.01,g,2049565,2652413,https://media.ulta.com/i/ulta/2652413?w=1080&h=1080&fmt=auto,214,134,136,64.26,30.91,11.91,"214,134,136","64.26,30.91,11.91",64.26,11.91,#d68688
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2635134,NATASHA DENONA,Hy-Blush,Simply Shy,https://media.ultainc.com/i/ulta/2635134_sw?img404=2635134&w=80&fmt=auto,Simply Shy Hy-Blush,light dusty coral/icy light pink,42.0,10.01,g,2049565,2635134,https://media.ulta.com/i/ulta/2635134?w=1080&h=1080&fmt=auto,245,162,156,74.61,30.05,15.83,"245,162,156","74.61,30.05,15.83",74.61,15.83,#f5a29c
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2635135,NATASHA DENONA,Hy-Blush,Sweet Cheeks,https://media.ultainc.com/i/ulta/2635135_sw?img404=2635135&w=80&fmt=auto,Sweet Cheeks Hy-Blush,baby pink/icy pastel pink,42.0,10.01,g,2049565,2635135,https://media.ulta.com/i/ulta/2635135?w=1080&h=1080&fmt=auto,250,161,166,75.18,33.62,11.24,"250,161,166","75.18,33.62,11.24",75.18,11.24,#faa1a6
https://www.ulta.com/p/hy-blush-pimprod2049565?sku=2635130,NATASHA DENONA,Hy-Blush,Vamped,https://media.ultainc.com/i/ulta/2635130_sw?img404=2635130&w=80&fmt=auto,Vamped Hy-Blush,mahogany/icy peach,42.0,10.01,g,2049565,2635130,https://media.ulta.com/i/ulta/2635130?w=1080&h=1080&fmt=auto,222,118,118,61.48,40.34,18.43,"222,118,118","61.48,40.34,18.43",61.48,18.43,#de7676
https://www.ulta.com/p/good-apple-blush-balm-duo-pimprod2043903?sku=2621127,KVD Beauty,Good Apple Blush Balm Duo,Secret Thicket 10 - Hidden Apple/Hallowed Apple,https://media.ultainc.com/i/ulta/2621127_sw?img404=2621127&w=80&fmt=auto,Secret Thicket 10 - Hidden Apple/Hallowed Apple Good Apple Blush Balm Duo,chestnut rose/rose pink,34.0,5.95,g,2043903,2621127,https://media.ulta.com/i/ulta/2621127?w=1080&h=1080&fmt=auto,147,57,57,36.79,37.98,19.69,"147,57,57","36.79,37.98,19.69",36.79,19.69,#933939
https://www.ulta.com/p/good-apple-blush-balm-duo-pimprod2043903?sku=2621128,KVD Beauty,Good Apple Blush Balm Duo,Elusive Orchard 30 - Gilded Apple/Glass Apple,https://media.ultainc.com/i/ulta/2621128_sw?img404=2621128&w=80&fmt=auto,Elusive Orchard 30 - Gilded Apple/Glass Apple Good Apple Blush Balm Duo,light honey/coral pink,34.0,5.95,g,2043903,2621128,https://media.ulta.com/i/ulta/2621128?w=1080&h=1080&fmt=auto,226,88,86,55.91,53.59,29.51,"226,88,86","55.91,53.59,29.51",55.91,29.51,#e25856
https://www.ulta.com/p/good-apple-blush-balm-duo-pimprod2043903?sku=2621129,KVD Beauty,Good Apple Blush Balm Duo,Red Meadow 50 - Thorned Apple/Immortal Apple,https://media.ultainc.com/i/ulta/2621129_sw?img404=2621129&w=80&fmt=auto,Red Meadow 50 - Thorned Apple/Immortal Apple Good Apple Blush Balm Duo,deep terracotta/crimson red,34.0,5.95,g,2043903,2621129,https://media.ulta.com/i/ulta/2621129?w=1080&h=1080&fmt=auto,143,41,43,33.14,42.85,23.71,"143,41,43","33.14,42.85,23.71",33.14,23.71,#8f292b
