shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,currency,size
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634527,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Bubblegum Pop,https://media.ultainc.com/i/ulta/2634527_sw?img404=2634527&w=80&fmt=auto,Bubblegum Pop Trublend Skin Enhancer Balm Blush Stick,"cool, bright pink",12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652760,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Candied Strawberry,https://media.ultainc.com/i/ulta/2652760_sw?img404=2652760&w=80&fmt=auto,Candied Strawberry Trublend Skin Enhancer Balm Blush Stick,bright red,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652756,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Midnight Plum,https://media.ultainc.com/i/ulta/2652756_sw?img404=2652756&w=80&fmt=auto,Midnight Plum Trublend Skin Enhancer Balm Blush Stick,deep berry,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634526,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Nude Flush,https://media.ultainc.com/i/ulta/2634526_sw?img404=2634526&w=80&fmt=auto,Nude Flush Trublend Skin Enhancer Balm Blush Stick,nude pink,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652758,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Pink Sprinkle,https://media.ultainc.com/i/ulta/2652758_sw?img404=2652758&w=80&fmt=auto,Pink Sprinkle Trublend Skin Enhancer Balm Blush Stick,warm pink,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634528,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Radiant Peach,https://media.ultainc.com/i/ulta/2634528_sw?img404=2634528&w=80&fmt=auto,Radiant Peach Trublend Skin Enhancer Balm Blush Stick,warm peach,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652761,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Sleepy Mauve,https://media.ultainc.com/i/ulta/2652761_sw?img404=2652761&w=80&fmt=auto,Sleepy Mauve Trublend Skin Enhancer Balm Blush Stick,cool mauve,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652755,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Spiced Rose,https://media.ultainc.com/i/ulta/2652755_sw?img404=2652755&w=80&fmt=auto,Spiced Rose Trublend Skin Enhancer Balm Blush Stick,warm mauve,12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634529,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Sweet Violet,https://media.ultainc.com/i/ulta/2634529_sw?img404=2634529&w=80&fmt=auto,Sweet Violet Trublend Skin Enhancer Balm Blush Stick,"cool, bright purple",12.99,USD,0.21 oz
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652757,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Toasted Chai,https://media.ultainc.com/i/ulta/2652757_sw?img404=2652757&w=80&fmt=auto,Toasted Chai Trublend Skin Enhancer Balm Blush Stick,warm terracota,12.99,USD,0.21 oz
