brand,product_id,product_name,standard_value,standard_unit,price,price_tier,price_per_size
Alleyoop,77001487,Stack the Odds,7.94,g,20.0,Drug-store,2.52
Anastasia Beverly Hills,2026378,Cream Stick Blush with Brush Applicator,8.5,g,32.0,High-end,3.76
Anastasia Beverly Hills,2045615,Blurring Serum Blush,9.07,g,25.0,Mid-range,2.76
Anastasia Beverly Hills,2052290,Magic Touch Cream Blush & Lip Trio,3.0,g,38.0,High-end,12.67
Apieu,77004460,Juicy Pang Water Blush,8.5,g,12.0,Drug-store,1.41
BLK/OPL,2043808,COLORSPLURGE Blush Sticks,6.8,g,16.5,Drug-store,2.43
BOBBI BROWN,2038538,Pot Rouge Cream Blush for Lips & Cheeks,3.69,g,36.0,High-end,9.76
BOBBI BROWN,2042919,Powder Blush,3.4,g,36.0,High-end,10.59
BOBBI BROWN,2053552,Pot Rouge Velvet Matte Cream Blush for Cheeks & Lips,8.5,g,36.0,High-end,4.24
BOBBI BROWN,2055989,"Skin Enhancer Blush, Bronzer & Highlighter Multi-Stick",9.07,g,35.0,High-end,3.86
Benefit Cosmetics,820350,Silky-Soft Powder Blush,5.95,g,34.0,High-end,5.71
Benefit Cosmetics,2008308,Benetint Liquid Lip & Cheek Stain,5.67,g,28.0,Mid-range,4.94
Benefit Cosmetics,2043819,Value Size Liquid Lip Blush & Cheek Tint,9.36,g,36.0,High-end,3.85
Benefit Cosmetics,2057553,Juice Stick Dewy Gel-Cream Blush,8.0,g,34.0,High-end,4.25
Benefit Cosmetics,2057554,Play Daze Airy Soft Matte Liquid Blush,5.67,g,34.0,High-end,6.0
Benefit Cosmetics,13741141,WANDERful World Silky-Soft Powder Blush Mini,2.27,g,18.0,Drug-store,7.93
CHANEL,2029892,N°1 DE CHANEL Lip and Cheek Balm,6.52,g,50.0,High-end,7.67
CHANEL,2037598,LES BEIGES Water-Fresh Blush,14.17,g,56.0,High-end,3.95
CHANEL,2047239,JOUES CONTRASTE Intense Cream-To-Powder Blush,7.94,g,56.0,High-end,7.05
CHANEL,2049564,JOUES CONTRASTE Powder Blush,5.1,g,56.0,High-end,10.98
Charlotte Tilbury,2043349,Lip & Cheek Glow,2.27,g,40.0,High-end,17.62
Charlotte Tilbury,2043369,Matte Beauty Blush Wand,11.34,g,44.0,High-end,3.88
Charlotte Tilbury,2043378,Cheek To Chic Blush,7.99,g,43.0,High-end,5.38
Charlotte Tilbury,2053038,Unreal Lip + Cheek Glow Blush Stick,8.79,g,44.0,High-end,5.01
Clinique,2045574,Pop Lip + Cheek Oil,6.52,g,27.0,Mid-range,4.14
Clinique,2056735,Chubby Stick Cheek Color Balm Cream Blush,5.95,g,32.0,High-end,5.38
Clinique,10791937,Blushing Blush Powder Blush,5.95,g,32.0,High-end,5.38
Clinique,10791941,Cheek Pop Powder Blush,3.4,g,32.0,High-end,9.41
ColourPop,2009396,Hydrating Blush Stix,7.94,g,10.0,Drug-store,1.26
ColourPop,2027226,Cheek Dew Hydrating Serum Blush,13.61,g,8.0,Drug-store,0.59
ColourPop,2038305,Pressed Powder Blush,5.95,g,12.0,Drug-store,2.02
ColourPop,2046142,Liquid Blush,8.5,g,10.0,Drug-store,1.18
ColourPop,2049531,Instant Crush Lip & Cheek Balm,3.97,g,10.0,Drug-store,2.52
ColourPop,2056483,Heart Pressed Powder Blush,6.0,g,12.0,Drug-store,2.0
CoverGirl,2033619,Clean Fresh All Over Dewy Tint,9.36,g,5.49,Drug-store,0.59
CoverGirl,2049677,Trublend Skin Enhancer Balm Blush Stick,5.95,g,12.99,Drug-store,2.18
CoverGirl,2056106,TruBlend Skin Enhancer Baked Luminous Blush,7.94,g,12.99,Drug-store,1.64
DIBS Beauty,2047143,GlowTour Duo pH Blush + Contour Stick,9.64,g,38.0,High-end,3.94
DIBS Beauty,2047144,GlowTour Duo Shimmering Blush + Contour Stick,9.64,g,38.0,High-end,3.94
DIBS Beauty,2057785,Cool Blush Cheek Stain,29.77,g,26.0,Mid-range,0.87
Dehiya Beauty,77001349,Mahiri Lip + Cheek Tint,5.1,g,26.6,Mid-range,5.22
Dior,2040322,Rouge Blush,5.95,g,49.0,High-end,8.24
Dior,2052324,Backstage Rosy Glow Blush,5.67,g,42.0,High-end,7.41
Doll 10,77001962,Peptide Bounce Blush,2.83,g,22.4,Mid-range,7.92
Ere Perez,2029283,Beetroot Cheek & Lip Tint,4.25,g,30.0,Mid-range,7.06
Ere Perez,2029284,Carrot Colour Pot,6.52,g,31.0,High-end,4.75
Essence,2037375,What A Tint! Lip & Cheek Tint,4.54,g,4.99,Drug-store,1.1
Essence,2037387,Baby Got Blush,5.39,g,4.99,Drug-store,0.93
Essence,2045811,Baby Got Blush Liquid Blush,9.36,g,5.99,Drug-store,0.64
Essence,2057244,Soft Baked Blush,4.25,g,6.99,Drug-store,1.64
Essence,2057251,What A Tint! Staining Lip & Cheek Tint,4.82,g,5.99,Drug-store,1.24
Essence,2057260,Soft Touch Bouncy Blush,4.82,g,5.99,Drug-store,1.24
Estée Lauder,2053170,The Sculpting Blush Powder Blush,7.09,g,44.0,High-end,6.21
Estée Lauder,2055435,Futurist Blushmaker Dewy Cheek Tint Liquid Blush,10.0,ml,32.0,High-end,3.2
FENTY BEAUTY by Rihanna,2031376,Cheeks Out Freestyle Cream Blush,2.83,g,28.0,Mid-range,9.89
FENTY BEAUTY by Rihanna,2046790,Fenty Cheeks Suede Waterproof Powder Blush,3.97,g,14.0,Drug-store,3.53
Florasis,77004458,Ethereal Flush Smooth Powder Blush (Ode to Embroidery),2.83,g,22.4,Mid-range,7.92
Flower Knows,2055755,Shell's Jewel Collection Silk Satin Blush,5.1,g,26.0,Mid-range,5.1
Flower Knows,2056116,Strawberry Cupid Collection Liquid Blush,7.09,g,22.0,Mid-range,3.1
Flower Knows,2056377,Strawberry Rococo Series Embossed Blush,5.0,g,26.0,Mid-range,5.2
Flower Knows,2056380,Swan Ballet Series Embossed Blush,5.1,g,26.0,Mid-range,5.1
HALF MAGIC,2040539,Cheek Fluff Soft Blur Cream Blush,6.52,g,23.0,Mid-range,3.53
HOURGLASS,2020426,Ambient Lighting Blush,4.25,g,48.0,High-end,11.29
HOURGLASS,2045365,Unreal Liquid Blush,10.0,g,38.0,High-end,3.8
ICONIC LONDON,2045569,Cream to Powder Blurring Blush Stick,5.95,g,29.0,Mid-range,4.87
ILIA,2047199,Multi-Stick Cream Blush + Highlighter + Lip Tint,4.25,g,36.0,High-end,8.47
ILIA,2052742,Soft Focus Blurring Blush - Talc-Free Powder Blush,4.25,g,36.0,High-end,8.47
IT Cosmetics,2045180,Do It All Serum Color Balm Sun Cream Blush & Bronzer,17.86,g,34.0,High-end,1.9
IT Cosmetics,16281007,Bye Bye Pores Blush,5.44,g,29.0,Mid-range,5.33
J.Cat Beauty,2014270,Blush-Mallow Soft Blusher,4.54,g,4.99,Drug-store,1.1
J.Cat Beauty,13361015,Love Struck Blusher + Bronzer,7.37,g,4.99,Drug-store,0.68
Jouer Cosmetics,77001820,Blush & Bloom Cheek + Lip Stick,5.67,g,37.0,High-end,6.53
Jungsaemmool,77000416,Artist Cushion Blush,3.97,g,23.0,Mid-range,5.79
Juvia's Place,2038948,Blushed Liquid Blush,7.65,g,20.0,Drug-store,2.61
Juvia's Place,2043833,Blushed Liquid Blushlighter,7.7,g,18.0,Drug-store,2.34
Juvia's Place,2050897,Blushed Cream Blush,5.95,g,17.0,Drug-store,2.86
KIKO Milano,2032250,Velvet Touch Creamy Stick Blush,9.92,g,16.0,Drug-store,1.61
KIKO Milano,2032252,Unlimited Blush,5.95,g,16.0,Drug-store,2.69
KIKO Milano,2052002,So Chic Trio Blush,4.31,g,18.0,Drug-store,4.18
KVD Beauty,2021341,Everlasting Refillable Blush,6.24,g,29.5,Mid-range,4.73
KYLIE COSMETICS,2045159,Powder Blush Stick,11.91,g,26.0,Mid-range,2.18
KYLIE COSMETICS,2047872,Lip & Cheek Blush Tint,8.5,g,26.0,Mid-range,3.06
KYLIE COSMETICS,2052296,Hybrid Blush,2.27,g,22.0,Mid-range,9.69
Kaja,2053417,Jelly Charm Glazed Lip Stain & Blush with Keychain,4.82,g,25.0,Mid-range,5.19
Kaja,2053436,"Play Bento Cream Bronzer, Powder Blush & Highlighter Trio",5.95,g,30.0,Mid-range,5.04
KimChi Chic Beauty,77000411,Thailor Blush Duo,7.09,g,16.0,Drug-store,2.26
L'Oréal,10730,True Match Super Blendable Blush,5.95,g,14.99,Drug-store,2.52
L'Oréal,2039299,Infallible 24H Fresh Wear Soft Matte Blush,8.79,g,17.99,Drug-store,2.05
L'Oréal,2045480,Lumi Le Liquid Blush,9.36,g,14.99,Drug-store,1.6
L.A. Girl,2030849,Soft Matte Cream Blush,7.65,g,7.0,Drug-store,0.92
L.A. Girl,2040099,Velvet Contour Stick Blush,5.67,g,6.0,Drug-store,1.06
L.A. Girl,2046149,Marble Cream Blush Stick,22.0,g,8.0,Drug-store,0.36
L.A. Girl,15711055,Just Blushing Powder,7.09,g,7.0,Drug-store,0.99
LAURA GELLER,2049930,Baked Blush-n-Brighten Marbleized Blush,4.54,g,32.0,High-end,7.05
LORAC,13521181,Color Source Buildable Blush,4.0,g,23.0,Mid-range,5.75
Lancôme,2053617,Skin Idôle Juicy Liquid Blush,8.5,ml,38.0,High-end,4.47
Lancôme,3650106,Blush Subtil Oil-Free Powder Blush,5.1,g,34.0,High-end,6.67
Laura Mercier,2012418,Blush Color Infusion,5.67,g,37.0,High-end,6.53
Laura Mercier,2032233,Tinted Moisturizer Cream Blush,15.0,g,33.0,High-end,2.2
Laura Mercier,2033333,RoseGlow Blush Color Infusion,5.67,g,37.0,High-end,6.53
Live Tinted,2028590,Huestick Lip and Cheek Multistick,2.83,g,28.0,Mid-range,9.89
Live Tinted,2046549,Blush Crush Liquid Blush,8.5,g,22.0,Mid-range,2.59
Live Tinted,2050901,Huebeam Gradient Blushing Bronzer,5.67,g,36.0,High-end,6.35
MAC,2046212,Glow Play Cushiony Blush,7.37,g,34.0,High-end,4.61
MAC,2050854,Strobe Beam Liquid Blush,4.25,g,30.0,Mid-range,7.06
MAC,2056792,Powder Kiss Liquid Lip & Cheek Mousse,4.82,g,27.0,Mid-range,5.6
MAC,15921114,Extra Dimension Hybrid Cream Powder Blush,3.97,g,34.0,High-end,8.56
MAC,15921186,Mineralize Powder Blush,2.83,g,34.0,High-end,12.01
MAC,15921200,Powder Blush,5.95,g,32.0,High-end,5.38
MILK MAKEUP,2050539,Bionic Liquid Blush with Hyaluronic Acid,7.65,g,24.0,Mid-range,3.14
MILK MAKEUP,2050543,Cooling Water Jelly Tint Lip + Cheek Blush Stain,4.82,g,26.0,Mid-range,5.39
MILK MAKEUP,2050561,Lip + Cheek Cream Blush Stick and Lip Color,5.39,g,24.0,Mid-range,4.45
Made By Mitchell,2054162,Blursh Liquid Blusher,5.67,g,15.5,Drug-store,2.73
Made By Mitchell,2054165,Blursh Pod Domed Blusher,12.0,g,15.5,Drug-store,1.29
Marie Hunter,77000784,Silk Blush,5.1,g,48.0,High-end,9.41
Maybelline,2045294,Sunkisser Multi-Use Liquid Blush,4.25,g,5.99,Drug-store,1.41
Maybelline,2055750,Cloudtopia Cheek and Lip Mousse,57.55,g,9.99,Drug-store,0.17
Maybelline,16211171,Fit Me Blush,4.54,g,9.99,Drug-store,2.2
Milani,2021060,Cheek Kiss Cream Blush,5.95,g,11.99,Drug-store,2.02
Milani,2021340,Supercharged Cheek + Lip Multistick,4.82,g,9.99,Drug-store,2.07
Milani,2047580,Cheek Kiss Liquid Blush + Glow,9.36,g,12.99,Drug-store,1.39
Milani,2056506,Baked Blush,3.4,g,12.99,Drug-store,3.82
Milani,18001081,Rose Powder Blush,17.01,g,11.99,Drug-store,0.7
Monika Blunder Beauty,77000967,Liquid Flush Cheek Tint,3.97,g,28.0,Mid-range,7.05
Morphe,2046120,Hot Shot Blush Drops,14.17,g,9.0,Drug-store,0.64
NARS,2039276,Afterglow Liquid Blush,6.52,g,34.0,High-end,5.21
NARS,2044741,Blush,4.82,g,36.0,High-end,7.47
NARS,2054924,The Multiple,7.94,g,40.0,High-end,5.04
NATASHA DENONA,2038007,Puff Paint Liquid Blush,6.52,g,24.0,Mid-range,3.68
NUDESTIX,2005786,NUDIES BLOOM All Over Dewy Face Color,7.09,g,37.0,High-end,5.22
NUDESTIX,2034191,NUDIES MATTE LUX All Over Face Blush Color,7.09,g,37.0,High-end,5.22
NUDESTIX,2043960,Nudescreen Blush Tint SPF 30,14.46,g,32.0,High-end,2.21
NUDESTIX,2046733,STAX All Over Color Blush Balm,2.49,g,25.0,Mid-range,10.04
NUDESTIX,15581009,Gel Color Lip + Cheek Balm,2.83,g,29.0,Mid-range,10.25
NUDESTIX,15581011,Intense Matte Lip + Cheek Pencil,2.83,g,29.0,Mid-range,10.25
NUDESTIX,15581029,NUDIES MATTE All Over Face Blush Color,7.09,g,37.0,High-end,5.22
NYX Professional Makeup,2016401,Sweet Cheeks Soft Cheek Tint Blush,6.24,g,9.5,Drug-store,1.52
NYX Professional Makeup,2045333,Buttermelt Pressed Powder Blush,4.82,g,11.0,Drug-store,2.28
NYX Professional Makeup,2052350,Fat Cheeks Dewy Liquid Blush,7.65,g,10.0,Drug-store,1.31
Ofra Cosmetics,2037802,Cheek & Lip Cream,3.97,g,18.0,Drug-store,4.53
Ogee,77000968,Sculpted Face Stick Blush,7.94,g,42.0,High-end,5.29
PAT McGRATH LABS,2040432,Divine Cream Blush: Legendary Glow Colour Balm,6.8,g,29.0,Mid-range,4.26
PAT McGRATH LABS,2040437,Skin Fetish Divine Blush,9.64,g,39.0,High-end,4.05
Palladio Beauty,77002357,Matte Blush,5.95,g,12.99,Drug-store,2.18
Palladio Beauty,77002358,2-in-1 Mosaic Blush & Bronzer Powder,4.82,g,14.99,Drug-store,3.11
Palladio Beauty,77002359,Liquid Blush - 2-in-1 Lip & Cheek Tint,5.0,g,14.99,Drug-store,3.0
Palladio Beauty,77002360,I'm Blushing 2-in-1 Cheek and Lip Tint,6.0,g,14.99,Drug-store,2.5
Palladio Beauty,77002361,Baked Blush,2.5,g,14.99,Drug-store,6.0
Palladio Beauty,77002432,Jelly Tint - 2-in-1 Lip & Cheek Tint Stain,3.84,ml,14.99,Drug-store,3.9
Persona,2015177,Super Blush,5.1,g,22.0,Mid-range,4.31
